label,binary_label,file_name,c3_lda_top_55_score
c3,c3,ChatDev_ProgramDev2_GPT4o_36_scored.json,-0.8590269224997906
c3,c3,ChatDev_ProgramDev2_GPT4o_37_scored.json,0.10044617563012848
c3,c3,ChatDev_ProgramDev2_GPT4o_38_scored.json,0.5448998801284353
c3,c3,ChatDev_ProgramDev2_GPT4o_3_scored.json,0.34680293270299145
c3,c3,ChatDev_ProgramDev2_GPT4o_44_scored.json,0.6996549387903361
c3,c3,ChatDev_ProgramDev2_GPT4o_45_scored.json,0.3172214847726388
c3,c3,ChatDev_ProgramDev2_GPT4o_46_scored.json,0.09009529554171815
c3,c3,ChatDev_ProgramDev2_GPT4o_51_scored.json,0.32949356179016365
c3,c3,ChatDev_ProgramDev2_GPT4o_56_scored.json,1.0275809210569855
c3,c3,ChatDev_ProgramDev2_GPT4o_57_scored.json,-0.07206109844383042
c3,c3,ChatDev_ProgramDev2_GPT4o_60_scored.json,0.03418305624414272
c3,c3,ChatDev_ProgramDev2_GPT4o_61_scored.json,0.04205758286088161
c3,c3,ChatDev_ProgramDev2_GPT4o_63_scored.json,-0.038703739419705924
c3,c3,ChatDev_ProgramDev2_GPT4o_64_scored.json,0.4680881867869016
c3,c3,ChatDev_ProgramDev2_GPT4o_66_scored.json,0.32893892823001003
c3,c3,ChatDev_ProgramDev2_GPT4o_67_scored.json,0.7513507203291677
c3,c3,ChatDev_ProgramDev2_GPT4o_68_scored.json,0.4132511684051265
c3,c3,ChatDev_ProgramDev2_GPT4o_69_scored.json,1.050642136394486
c3,c3,ChatDev_ProgramDev2_GPT4o_71_scored.json,-0.2898414846183451
c3,c3,ChatDev_ProgramDev2_GPT4o_77_scored.json,0.008944575838050486
c3,c3,ChatDev_ProgramDev2_GPT4o_81_scored.json,0.7278965338903389
c3,c3,ChatDev_ProgramDev2_GPT4o_84_scored.json,0.43404041302535395
c3,c3,ChatDev_ProgramDev2_GPT4o_85_scored.json,0.3264314705093994
c3,c3,ChatDev_ProgramDev2_GPT4o_88_scored.json,0.7105178627656501
c3,c3,ChatDev_ProgramDev2_GPT4o_8_scored.json,0.5811167183955158
c3,c3,ChatDev_ProgramDev2_GPT4o_91_scored.json,0.3366993464109248
c3,c3,ChatDev_ProgramDev2_GPT4o_92_scored.json,0.005579069594852416
c3,c3,ChatDev_ProgramDev2_GPT4o_94_scored.json,0.13913842792148845
c3,c3,ChatDev_ProgramDev2_GPT4o_97_scored.json,0.28462278129265617
c3,c3,ChatDev_ProgramDev2_GPT4o_98_scored.json,-0.06446896340206587
c3,c3,ChatDev_ProgramDev_GPT4o_3_scored.json,0.20351488253456917
c3,c3,ChatDev_ProgramDev_GPT4o_8_scored.json,-0.3412394669542085
c0,not_c3,ChatDev_ProgramDev2_GPT4o_0_scored.json,-0.2898591378748158
