file,sample,label,y,n_outputs,n_entries,entry_max,entry_mean,entry_min,entry_q25,entry_q50,entry_q75,entry_std,high_low_gap_0_7_0_3,high_low_gap_0_8_0_2,high_low_gap_0_9_0_5,high_low_ratio_0_7_0_3,high_low_ratio_0_8_0_2,high_low_ratio_0_9_0_5,high_score_rate_0_1,high_score_rate_0_2,high_score_rate_0_3,high_score_rate_0_4,high_score_rate_0_5,high_score_rate_0_6,high_score_rate_0_7,high_score_rate_0_8,high_score_rate_0_9,low_score_rate_0_1,low_score_rate_0_2,low_score_rate_0_3,low_score_rate_0_4,low_score_rate_0_5,low_score_rate_0_6,low_score_rate_0_7,low_score_rate_0_8,low_score_rate_0_9,score_max,score_mean,score_min,score_q10,score_q25,score_q50,score_q75,score_q90,score_std
ChatDev_ProgramDev2_GPT4o_0_scored.json,ChatDev_ProgramDev2_GPT4o_0,0.0,0,94,14,0.9712312432399629,0.28283011061990815,1.3440409951135022e-08,0.04364816732665387,0.2587287072823977,0.3818901751405973,0.25724807428480434,-0.20212765957446815,-0.21276595744680848,-0.276595744680851,0.6481481470198902,0.6226415083296547,0.5357142848150511,0.4574468085106383,0.43617021276595747,0.425531914893617,0.40425531914893614,0.40425531914893614,0.3829787234042553,0.3723404255319149,0.35106382978723405,0.3191489361702128,0.5425531914893617,0.5638297872340425,0.574468085106383,0.5957446808510638,0.5957446808510638,0.6170212765957447,0.6276595744680851,0.648936170212766,0.6808510638297872,0.999999970984299,0.3947356919354849,1.3440409951135022e-08,2.327216288815249e-05,0.000975666130271328,0.04742588035042488,0.9844316853749678,0.9999970335225543,0.45252308040403366
ChatDev_ProgramDev2_GPT4o_13_scored.json,ChatDev_ProgramDev2_GPT4o_13,0.0,0,106,13,0.7988140130205499,0.31706213683840084,9.237449661970594e-09,0.014462954035017015,0.34166195023761764,0.3957836655053297,0.2569514115527046,-0.29245283018867924,-0.3018867924528302,-0.3773584905660377,0.5156249991459961,0.49206349123557575,0.4202898544268011,0.4528301886792453,0.4056603773584906,0.39622641509433965,0.3584905660377358,0.3490566037735849,0.3113207547169811,0.3113207547169811,0.29245283018867924,0.27358490566037735,0.5471698113207547,0.5943396226415094,0.6037735849056604,0.6415094339622641,0.6509433962264151,0.6886792452830188,0.6886792452830188,0.7075471698113207,0.7264150943396226,0.9999999519886499,0.35548958630444605,9.237449661970594e-09,1.1568555659672165e-05,0.0002611902975925828,0.023649221354528717,0.9807659652672206,0.9999864619732599,0.43590947722395024
ChatDev_ProgramDev2_GPT4o_14_scored.json,ChatDev_ProgramDev2_GPT4o_14,0.0,0,113,13,0.6667457771171316,0.2056556350730583,3.2241867372567335e-08,7.39629330623281e-05,0.11906027042309231,0.32633173730640025,0.2223911834344346,-0.5929203539823009,-0.6283185840707964,-0.672566371681416,0.22988505717267804,0.18390804573814243,0.15555555536024693,0.23008849557522124,0.23008849557522124,0.23008849557522124,0.21238938053097345,0.20353982300884957,0.18584070796460178,0.17699115044247787,0.1415929203539823,0.12389380530973451,0.7699115044247787,0.7699115044247787,0.7699115044247787,0.7876106194690266,0.7964601769911505,0.8141592920353983,0.8230088495575221,0.8584070796460177,0.8761061946902655,0.9999986091166121,0.195470744524452,3.2241867372567335e-08,1.8603393828019845e-06,4.539785156619626e-05,0.0011695103074966034,0.07585819714278708,0.962673070427456,0.35743233572280464
ChatDev_ProgramDev2_GPT4o_16_scored.json,ChatDev_ProgramDev2_GPT4o_16,0.0,0,100,13,0.5481469563393226,0.1932915591114397,1.522997974471263e-08,0.0002668832529140831,0.17563499141876032,0.33334751040831195,0.18378618184167317,-0.5,-0.5499999999999999,-0.62,0.3055555551311729,0.23611111078317903,0.17333333310222224,0.3,0.28,0.28,0.27,0.25,0.24,0.22,0.17,0.13,0.7,0.72,0.72,0.73,0.75,0.76,0.78,0.83,0.87,0.9999993241942207,0.2376020909165945,1.522997974471263e-08,7.390569383498026e-06,4.539785156619626e-05,0.004070137939983506,0.4533676413689768,0.9535839842383641,0.37831205037628163
ChatDev_ProgramDev2_GPT4o_1_scored.json,ChatDev_ProgramDev2_GPT4o_1,0.0,0,152,18,0.6837685390703041,0.3134402997895662,3.2241867372567335e-08,0.05287049121010566,0.2556592306593993,0.569985618425613,0.24281904639442609,-0.2368421052631579,-0.2302631578947369,-0.31578947368421056,0.5909090898884298,0.5833333322777777,0.48936170133635126,0.4868421052631579,0.4473684210526316,0.42105263157894735,0.40131578947368424,0.3815789473684211,0.375,0.34210526315789475,0.3223684210526316,0.3026315789473684,0.5131578947368421,0.5526315789473685,0.5789473684210527,0.5986842105263158,0.618421052631579,0.625,0.6578947368421053,0.6776315789473685,0.6973684210526315,0.9999999356002148,0.3885445633711111,3.2241867372567335e-08,2.902312105056987e-06,0.00013753872851000136,0.05375626790761298,0.9792510167251596,0.9998685391762204,0.44341171929509915
ChatDev_ProgramDev2_GPT4o_20_scored.json,ChatDev_ProgramDev2_GPT4o_20,0.0,0,112,14,0.8387758388899317,0.2231702869776568,3.2241867372567335e-08,1.188858047227835e-06,0.07899429462473959,0.43113221541486374,0.2606077055488445,-0.33928571428571436,-0.33035714285714285,-0.4285714285714286,0.47222222148765425,0.47887323868121406,0.3684210520886427,0.375,0.36607142857142855,0.35714285714285715,0.33035714285714285,0.32142857142857145,0.32142857142857145,0.30357142857142855,0.30357142857142855,0.25,0.625,0.6339285714285714,0.6428571428571429,0.6696428571428571,0.6785714285714286,0.6785714285714286,0.6964285714285714,0.6964285714285714,0.75,0.9999997214122732,0.3256240141718363,3.2241867372567335e-08,4.039424372517642e-07,9.569806656872395e-06,0.009782214671109572,0.8867604251647616,0.9996667670321597,0.43499326803730154
ChatDev_ProgramDev2_GPT4o_22_scored.json,ChatDev_ProgramDev2_GPT4o_22,0.0,0,106,14,0.8043789264999784,0.17760661018121376,3.2241867372567335e-08,7.758978798466537e-06,0.00022390786902709857,0.19023181020672802,0.28949106042213313,-0.7075471698113208,-0.7075471698113208,-0.7264150943396227,0.16666666647037037,0.16666666647037037,0.144444444274321,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.14150943396226415,0.14150943396226415,0.12264150943396226,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8584905660377359,0.8584905660377359,0.8773584905660378,0.999999833453042,0.1447989453585997,1.7257827987960214e-08,1.8553913626159784e-07,1.370956471489639e-06,2.1444937927240387e-05,0.0031726832512090877,0.9399132953033227,0.33973291935649513
ChatDev_ProgramDev2_GPT4o_23_scored.json,ChatDev_ProgramDev2_GPT4o_23,0.0,0,83,13,0.6315849292624338,0.18943423537621093,7.194133030325383e-09,0.029312229146562493,0.15113790632798388,0.25736921967899223,0.18414053161739982,-0.7108433734939759,-0.6987951807228916,-0.7590361445783133,0.14492753605755093,0.1470588233499135,0.12499999985590278,0.21686746987951808,0.18072289156626506,0.1686746987951807,0.1566265060240964,0.13253012048192772,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.10843373493975904,0.7831325301204819,0.8192771084337349,0.8313253012048193,0.8433734939759037,0.8674698795180723,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.891566265060241,0.9999998334541624,0.15499064985689867,7.194133030325383e-09,3.0671774752560146e-06,8.547429283479549e-05,0.002472623024627213,0.07585818400450803,0.9223212342837246,0.3177481789499584
ChatDev_ProgramDev2_GPT4o_24_scored.json,ChatDev_ProgramDev2_GPT4o_24,0.0,0,113,13,0.6768777608948695,0.2208831358881503,3.059023205018258e-07,2.2603250957489616e-06,0.26759042105196,0.3192612060137762,0.20419322408353485,-0.47787610619469023,-0.4690265486725664,-0.6017699115044248,0.30769230724654834,0.2739726023156315,0.19047619021995466,0.415929203539823,0.35398230088495575,0.30973451327433627,0.26548672566371684,0.25663716814159293,0.24778761061946902,0.21238938053097345,0.17699115044247787,0.1415929203539823,0.584070796460177,0.6460176991150443,0.6902654867256637,0.7345132743362832,0.7433628318584071,0.7522123893805309,0.7876106194690266,0.8230088495575221,0.8584070796460177,0.999999311247522,0.2688769747638298,2.382369667501818e-07,5.829127258796956e-05,0.002472623024627213,0.022977371676246788,0.5000000664042367,0.991832931059702,0.37305687966476647
ChatDev_ProgramDev2_GPT4o_25_scored.json,ChatDev_ProgramDev2_GPT4o_25,0.0,0,115,13,0.667723549186415,0.22565193448125306,1.8553913626159784e-07,4.726871627110225e-05,0.12082328069839096,0.35769418977106027,0.22552683052977548,-0.5826086956521739,-0.5739130434782609,-0.6347826086956522,0.24719101091655096,0.24137931002576302,0.21505376317493352,0.2956521739130435,0.24347826086956523,0.22608695652173913,0.20869565217391303,0.19130434782608696,0.19130434782608696,0.19130434782608696,0.1826086956521739,0.17391304347826086,0.7043478260869566,0.7565217391304347,0.7739130434782608,0.7913043478260869,0.808695652173913,0.808695652173913,0.808695652173913,0.8173913043478261,0.8260869565217391,0.9999999715416912,0.21663982698473302,1.8553913626159784e-07,1.1280841993793163e-05,4.539785156619626e-05,0.0031726831078774057,0.18242552554702196,0.9991063388547843,0.37931022687610233
